APOLLOSA,BN,Campania,14311,13403
APPIANO SULLA STRADA DEL VINO .EPPAN AN DER.,BZ,Trentino Alto Adige(P.A.Bolzano),25887,24527
APPIANO GENTILE,CO,Lombardia,24107,24040
APPIGNANO,MC,Marche,17973,16237
APPIGNANO DEL TRONTO,AP,Marche,15574,14065
APRICA,SO,Lombardia,17902,16803
APRICALE,IM,Liguria,12792,10472
APRICENA,FG,Puglia,13880,11940
APRIGLIANO,CS,Calabria,13843,11729
APRILIA,LT,Lazio,17151,15683
AQUARA,SA,Campania,11832,10273
AQUILA D'ARROSCIA,IM,Liguria,14410,13496
L'AQUILA,AQ,Abruzzo,21292,20149
AQUILEIA,UD,Friuli Venezia Giulia,19807,18353
AQUILONIA,AV,Campania,13349,11758
AQUINO,FR,Lazio,17319,15997
ARADEO,LE,Puglia,12529,10528
ARAGONA,AG,Sicilia,14649,13000
ARAMENGO,AT,Piemonte,17143,16340
ARBA,PN,Friuli Venezia Giulia,17346,15802
TORTOLI',NU,Sardegna,17054,15659
ARBOREA,OR,Sardegna,15610,14469
ARBORIO,VC,Piemonte,17004,15952
ARBUS,SU,Sardegna,14559,12732
ARCADE,TV,Veneto,19993,18938
ARCE,FR,Lazio,18071,16968
ARCENE,BG,Lombardia,20611,18880
ARCEVIA,AN,Marche,16178,14631
ARCHI,CH,Abruzzo,14295,12640
SAN NICOLO' D'ARCIDANO,OR,Sardegna,13411,11596
ARCIDOSSO,GR,Toscana,17004,15351
ARCINAZZO ROMANO,RM,Lazio,17641,16888
ARCISATE,VA,Lombardia,18142,16261
ARCO,TN,Trentino Alto Adige(P.A.Trento),21400,18981
ARCOLA,SP,Liguria,19130,17733
ARCOLE,VR,Veneto,18690,17540
ARCONATE,MI,Lombardia,22521,21076
ARCORE,MB,Lombardia,25178,23586
ARCUGNANO,VI,Veneto,23449,21996
ARDARA,SS,Sardegna,12263,11428
ARDAULI,OR,Sardegna,14315,13038
ARDENNO,SO,Lombardia,19140,17555
ARDESIO,BG,Lombardia,17580,15846
ARDORE,RC,Calabria,12913,11075
ARENA,VV,Calabria,12975,11613
ARENA PO,PV,Lombardia,19885,17907
ARENZANO,GE,Liguria,25774,24602
ARESE,MI,Lombardia,33608,31587
AREZZO,AR,Toscana,20911,19392
ARGEGNO,CO,Lombardia,19176,16267
ARGELATO,BO,Emilia Romagna,22725,21260
ARGENTA,FE,Emilia Romagna,18724,17462
ARGENTERA,CN,Piemonte,17369,15675
ARGUELLO,CN,Piemonte,16612,15183
ARGUSTO,CZ,Calabria,11939,9412
ARI,CH,Abruzzo,13145,11061
ARIANO IRPINO,AV,Campania,14563,12909
ARIANO NEL POLESINE,RO,Veneto,16172,15050
ARICCIA,RM,Lazio,20289,18905
ARIELLI,CH,Abruzzo,16411,14071
ARIENZO,CE,Campania,13447,11467
ARIGNANO,TO,Piemonte,20605,19586
ARITZO,NU,Sardegna,13513,11877
ARIZZANO,VB,Piemonte,21762,20412
ARLENA DI CASTRO,VT,Lazio,14391,12700
ARLUNO,MI,Lombardia,22970,21584
ARMENO,NO,Piemonte,19276,17682
ARMENTO,PZ,Basilicata,13374,10756
ARMO,IM,Liguria,15643,13405
ARMUNGIA,SU,Sardegna,11699,10610
ARNARA,FR,Lazio,15190,13547
ARNASCO,SV,Liguria,16732,14695
ARNAD,AO,Valle d'Aosta,18674,17067
ARNESANO,LE,Puglia,15577,13993
AROLA,VB,Piemonte,15974,14703
ARONA,NO,Piemonte,24037,22861
AROSIO,CO,Lombardia,21163,19118
ARPAIA,BN,Campania,13731,11598
ARPAISE,BN,Campania,16938,16232
ARPINO,FR,Lazio,17042,16014
ARQUA' PETRARCA,PD,Veneto,21739,20969
ARQUA' POLESINE,RO,Veneto,18968,17782
ARQUATA SCRIVIA,AL,Piemonte,20914,19770
ARQUATA DEL TRONTO,AP,Marche,15014,13283
ARRE,PD,Veneto,18639,17479
ARRONE,TR,Umbria,17573,16004
ARZAGO D'ADDA,BG,Lombardia,21699,20188
ARSAGO SEPRIO,VA,Lombardia,21451,19678
ARSIE',BL,Veneto,16863,15950
ARSIERO,VI,Veneto,19477,18111
ARSITA,TE,Abruzzo,12882,11129
ARSOLI,RM,Lazio,18812,17038
ARTA TERME,UD,Friuli Venezia Giulia,18475,17169
ARTEGNA,UD,Friuli Venezia Giulia,20082,19193
ARTENA,RM,Lazio,16300,14879
ARTOGNE,BS,Lombardia,17693,16271
ARVIER,AO,Valle d'Aosta,20165,18993
ARZACHENA,SS,Sardegna,17097,14824
ARZANA,NU,Sardegna,14535,13755
ARZANO,NA,Campania,15019,12823
ARZERGRANDE,PD,Veneto,18899,18201
ARZIGNANO,VI,Veneto,24194,22045
ASCEA,SA,Campania,13784,12065
ASCIANO,SI,Toscana,18875,17446
ASCOLI PICENO,AP,Marche,19914,18792
ASCOLI SATRIANO,FG,Puglia,13338,11665
ASCREA,RI,Lazio,15874,12528
ASIAGO,VI,Veneto,18096,16657
ASIGLIANO VERCELLESE,VC,Piemonte,19769,19092
ASIGLIANO VENETO,VI,Veneto,18575,16702
SINALUNGA,SI,Toscana,18280,16881
ASOLA,MN,Lombardia,19942,18556
ASOLO,TV,Veneto,22117,21296
CASPERIA,RI,Lazio,17887,16243
ASSAGO,MI,Lombardia,28835,27073
ASSEMINI,CA,Sardegna,17336,15819
ASSISI,PG,Umbria,18900,17162
ASSO,CO,Lombardia,19949,18742
ASSOLO,OR,Sardegna,12660,10878
ASSORO,EN,Sicilia,13011,10977
ASTI,AT,Piemonte,20932,19489
ASUNI,OR,Sardegna,12598,10661
ATELETA,AQ,Abruzzo,13108,11874
ATELLA,PZ,Basilicata,14695,13198
ATENA LUCANA,SA,Campania,12927,10833
ATESSA,CH,Abruzzo,16602,20059
ATINA,FR,Lazio,14323,12732
ATRANI,SA,Campania,16974,12971
ATRI,TE,Abruzzo,15902,14406
ATRIPALDA,AV,Campania,16865,14952
ATTIGLIANO,TR,Umbria,16787,15746
ATTIMIS,UD,Friuli Venezia Giulia,18177,17222
ATZARA,NU,Sardegna,13828,11926
AUGUSTA,SR,Sicilia,19684,18295
AULETTA,SA,Campania,11241,9366
AULLA,MS,Toscana,18652,17540
AURANO,VB,Piemonte,13295,12900
AURIGO,IM,Liguria,16064,14026
AURONZO DI CADORE,BL,Veneto,19321,17535
AUSONIA,FR,Lazio,14246,12509
AUSTIS,NU,Sardegna,13977,12631
AVEGNO,GE,Liguria,19921,17946
AVELENGO .HAFLING.,BZ,Trentino Alto Adige(P.A.Bolzano),22040,19798
AVELLA,AV,Campania,14487,12417
AVELLINO,AV,Campania,21508,20271
AVERARA,BG,Lombardia,15856,14858
AVERSA,CE,Campania,18331,16715
AVETRANA,TA,Puglia,12247,10713
AVEZZANO,AQ,Abruzzo,18973,17859
AVIANO,PN,Friuli Venezia Giulia,19132,17906
AVIATICO,BG,Lombardia,20324,18917
AVIGLIANA,TO,Piemonte,22506,21001
AVIGLIANO,PZ,Basilicata,16467,14916
AVIO,TN,Trentino Alto Adige(P.A.Trento),18796,17492
AVISE,AO,Valle d'Aosta,16885,16090
AVOLA,SR,Sicilia,15206,13341
AVOLASCA,AL,Piemonte,18092,16533
AZEGLIO,TO,Piemonte,19427,18098
